Date,SGOV,STAG,SPG,O,SPY,INDA,FXI
2024-10-02 00:00:00-04:00,,37.27285385131836,,,,,
2024-10-03 00:00:00-04:00,97.85266876220703,37.15576934814453,,60.383819580078125,564.218017578125,56.918216705322266,33.99135208129883
2024-10-04 00:00:00-04:00,97.89167022705078,36.75571823120117,,60.00641632080078,569.3453369140625,56.68986511230469,35.18351364135742
2024-10-07 00:00:00-04:00,97.90142822265625,36.550811767578125,,59.677406311035156,564.1981201171875,55.66726303100586,36.14906311035156
2024-10-08 00:00:00-04:00,97.91119384765625,36.47275161743164,163.29066467285156,59.52257537841797,569.5340576171875,56.670013427734375,32.83860397338867
2024-10-09 00:00:00-04:00,97.93069458007812,36.189796447753906,165.24354553222656,59.81288146972656,573.4789428710938,56.92814254760742,32.30656433105469
2024-10-10 00:00:00-04:00,97.9501953125,35.945865631103516,163.8765411376953,59.483863830566406,572.475341796875,56.68986511230469,32.730224609375
2024-10-11 00:00:00-04:00,97.98919677734375,36.32640075683594,166.75704956054688,59.754817962646484,575.9034423828125,56.77922058105469,32.878013610839844
2024-10-14 00:00:00-04:00,97.98919677734375,36.47275161743164,167.63584899902344,60.103187561035156,580.6133422851562,56.908287048339844,32.257301330566406
2024-10-15 00:00:00-04:00,98.00871276855469,36.911834716796875,170.51637268066406,61.312801361083984,576.1021728515625,56.59058380126953,30.641481399536133
2024-10-16 00:00:00-04:00,98.02821350097656,38.15100860595703,170.9069366455078,62.154693603515625,578.606201171875,56.64022445678711,31.18337059020996
2024-10-17 00:00:00-04:00,98.02821350097656,37.53629684448242,170.2429656982422,61.89341735839844,578.6558227539062,55.935325622558594,30.395166397094727
2024-10-18 00:00:00-04:00,98.06720733642578,37.6046028137207,172.75241088867188,62.619178771972656,580.8816528320312,56.15374755859375,31.695703506469727
2024-10-21 00:00:00-04:00,98.08673095703125,36.79473876953125,170.10626220703125,61.728904724121094,579.927734375,55.77647399902344,31.272045135498047
2024-10-22 00:00:00-04:00,98.09647369384766,36.902076721191406,170.73118591308594,61.63213348388672,579.6196899414062,55.190711975097656,31.51835823059082
2024-10-23 00:00:00-04:00,98.09647369384766,37.116737365722656,169.72543334960938,62.16436767578125,574.323486328125,55.0616455078125,31.449390411376953
2024-10-24 00:00:00-04:00,98.12574005126953,36.89231872558594,169.31532287597656,61.26441955566406,575.5656127929688,55.01200485229492,31.262191772460938
2024-10-25 00:00:00-04:00,98.16474151611328,36.150760650634766,166.50318908691406,59.329036712646484,575.3668823242188,54.31703186035156,31.252338409423828
2024-10-28 00:00:00-04:00,98.16474151611328,36.5703239440918,168.45606994628906,59.30967712402344,577.1455078125,54.77372741699219,31.794231414794922
2024-10-29 00:00:00-04:00,98.18424987792969,36.1702766418457,167.92877197265625,58.45811462402344,578.07958984375,54.84322738647461,31.567623138427734
2024-10-30 00:00:00-04:00,98.18424987792969,36.88256072998047,168.02642822265625,58.525856018066406,576.3306884765625,54.59502410888672,31.163665771484375
2024-10-31 00:00:00-04:00,98.20375061035156,36.49393081665039,165.1361541748047,57.45172119140625,565.0328369140625,54.42624282836914,31.094697952270508
2024-11-01 00:00:00-04:00,98.25759887695312,36.09257507324219,163.74960327148438,57.23204040527344,567.4176025390625,54.46595764160156,31.21293067932129
2024-11-04 00:00:00-05:00,98.26739501953125,36.033843994140625,168.1045379638672,57.63056945800781,566.1953735351562,53.909976959228516,31.400129318237305
2024-11-05 00:00:00-05:00,98.2869873046875,36.37646484375,170.28201293945312,57.17372131347656,573.041748046875,54.356746673583984,32.158775329589844
2024-11-06 00:00:00-05:00,98.2869873046875,37.17917251586914,169.5203857421875,55.404659271240234,587.2907104492188,54.74394607543945,31.21293067932129
2024-11-07 00:00:00-05:00,98.30656433105469,36.39604568481445,171.60997009277344,54.80201721191406,591.831787109375,54.545379638671875,32.92727279663086
2024-11-08 00:00:00-05:00,98.35553741455078,36.59182357788086,174.80294799804688,55.900386810302734,594.3953857421875,53.969547271728516,31.006025314331055
2024-11-11 00:00:00-05:00,98.34574890136719,36.5330924987793,177.0682830810547,56.036476135253906,594.9617919921875,54.14825439453125,31.006025314331055
2024-11-12 00:00:00-05:00,98.35553741455078,36.01426315307617,174.02178955078125,55.424102783203125,593.1135864257812,53.423500061035156,29.863126754760742
2024-11-13 00:00:00-05:00,98.3849105834961,36.35688400268555,174.9494171142578,55.30746078491211,593.4017333984375,52.88737869262695,29.823719024658203
2024-11-14 00:00:00-05:00,98.3849105834961,35.368186950683594,174.1096649169922,54.50069046020508,589.5860595703125,53.01644515991211,29.50843620300293
2024-11-15 00:00:00-05:00,98.4338607788086,35.44649124145508,176.02349853515625,54.95753860473633,582.0343017578125,52.6391716003418,29.705486297607422
2024-11-18 00:00:00-05:00,98.44365692138672,35.563968658447266,176.58984375,55.18109893798828,584.4190673828125,52.88737869262695,30.26708221435547
2024-11-19 00:00:00-05:00,98.45345306396484,35.554176330566406,176.9413604736328,55.579620361328125,586.555419921875,53.18522262573242,29.94194793701172
2024-11-20 00:00:00-05:00,98.47303009033203,35.231136322021484,176.64842224121094,55.288021087646484,586.7542114257812,53.24479293823242,30.079885482788086
2024-11-21 00:00:00-05:00,98.47303009033203,35.35839080810547,177.5174560546875,55.783748626708984,589.904052734375,52.80794906616211,29.902538299560547
2024-11-22 00:00:00-05:00,98.50241088867188,35.7108039855957,176.8730010986328,55.842063903808594,591.7323608398438,53.84048080444336,29.252269744873047
2024-11-25 00:00:00-05:00,98.51220703125,36.37646484375,175.8672637939453,55.842063903808594,593.7395629882812,54.48581314086914,29.262121200561523
