Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-08 00:00:00-04:00,164.35501491521134,164.99945645009456,162.49976289842348,163.29067993164062,1087400,0.0,0.0
2024-10-09 00:00:00-04:00,162.88056885908836,165.47791263939413,162.23611245055866,165.24356079101562,805300,0.0,0.0
2024-10-10 00:00:00-04:00,164.24759449604204,165.2337972282267,163.13444932034972,163.8765411376953,741900,0.0,0.0
2024-10-11 00:00:00-04:00,164.96039677508003,167.46984927120585,164.87252042020728,166.75704956054688,1135400,0.0,0.0
2024-10-14 00:00:00-04:00,166.29811074694715,168.22170587270833,165.5071937976504,167.63583374023438,888800,0.0,0.0
2024-10-15 00:00:00-04:00,167.94830588388257,172.53758800665403,167.94830588388257,170.516357421875,1374000,0.0,0.0
2024-10-16 00:00:00-04:00,170.59448241460527,171.649028480831,169.9500260079743,170.9069366455078,1264000,0.0,0.0
2024-10-17 00:00:00-04:00,170.3210680831108,170.97529847601035,168.80759226186873,170.2429656982422,1070800,0.0,0.0
2024-10-18 00:00:00-04:00,170.7311802560448,172.90864545043135,169.25674079088012,172.75241088867188,1060400,0.0,0.0
2024-10-21 00:00:00-04:00,172.12747746252157,172.6254583372056,169.5594260141017,170.1062469482422,1032000,0.0,0.0
2024-10-22 00:00:00-04:00,170.2722409670306,171.39514515541154,169.4617909852486,170.73117065429688,928100,0.0,0.0
2024-10-23 00:00:00-04:00,169.4520154347806,171.17056570277742,168.42676157639698,169.72543334960938,908900,0.0,0.0
2024-10-24 00:00:00-04:00,169.75473443776193,171.1217495874231,168.60252318360665,169.31532287597656,1047200,0.0,0.0
2024-10-25 00:00:00-04:00,169.65708261660487,169.9597777614065,165.93683472844714,166.503173828125,954900,0.0,0.0
2024-10-28 00:00:00-04:00,167.52845141859004,169.83284422875468,167.46009320845042,168.45606994628906,1101500,0.0,0.0
2024-10-29 00:00:00-04:00,167.96783806164365,168.70992985958225,166.97186138332933,167.92877197265625,857700,0.0,0.0
2024-10-30 00:00:00-04:00,168.17288881315653,169.49109372505106,167.55773943370733,168.02642822265625,929400,0.0,0.0
2024-10-31 00:00:00-04:00,166.42506701360307,167.62608859568445,165.0482778174362,165.1361541748047,1794900,0.0,0.0
2024-11-01 00:00:00-04:00,163.17350507220394,167.34292378602075,162.08965198404752,163.74960327148438,1433600,0.0,0.0
2024-11-04 00:00:00-05:00,164.60886800035811,168.1045379638672,163.75936681486405,168.1045379638672,1215900,0.0,0.0
2024-11-05 00:00:00-05:00,166.97186945672357,170.28201293945312,166.90351124736412,170.28201293945312,894600,0.0,0.0
2024-11-06 00:00:00-05:00,172.14702159214684,174.50025440710317,167.34292053507482,169.5203857421875,1967000,0.0,0.0
